CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,GARDEN STATE GROWERS          ,20100721            ,20100721            ,'771485280                    ,00001582.8

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03028          ,0000022.57,0000000000,000000000022.57,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03050          ,0000026.93,0000000000,000000000026.93,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03056          ,0000066.79,0000000000,000000000066.79,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03071          ,0000020.74,0000000000,000000000020.74,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03117          ,0000042.18,0000000000,000000000042.18,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03131          ,0000048.03,0000000000,000000000048.03,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03167          ,0000014.92,0000000000,000000000014.92,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03187          ,00000000.7,0000000000,0000000000000.7,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03196          ,0000007.94,0000000000,000000000007.94,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03202          ,0000154.38,0000000000,000000000154.38,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03229          ,00000007.7,0000000000,0000000000007.7,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03277          ,0000056.99,0000000000,000000000056.99,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03318          ,00000001.5,0000000000,0000000000001.5,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03350          ,0000001.06,0000000000,000000000001.06,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03361          ,00000009.5,0000000000,0000000000009.5,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03414          ,0000040.77,0000000000,000000000040.77,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03517          ,0000029.35,0000000000,000000000029.35,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03523          ,0000045.14,0000000000,000000000045.14,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03524          ,00000079.4,0000000000,0000000000079.4,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03529          ,0000071.15,0000000000,000000000071.15,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03561          ,0000010.06,0000000000,000000000010.06,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03709          ,00000005.2,0000000000,0000000000005.2,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03737          ,00000164.1,0000000000,0000000000164.1,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03796          ,0000015.68,0000000000,000000000015.68,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03798          ,0000016.23,0000000000,000000000016.23,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03807          ,0000019.34,0000000000,000000000019.34,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03895          ,00000014.5,0000000000,0000000000014.5,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,03990          ,0000006.97,0000000000,000000000006.97,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04010          ,00000002.5,0000000000,0000000000002.5,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04344          ,0000033.81,0000000000,000000000033.81,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04361          ,0000008.78,0000000000,000000000008.78,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04397          ,0000049.29,0000000000,000000000049.29,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04399          ,00000016.1,0000000000,0000000000016.1,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04470          ,0000072.08,0000000000,000000000072.08,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04478          ,0000032.14,0000000000,000000000032.14,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04860          ,0000057.99,0000000000,000000000057.99,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,04936          ,0000000003,0000000000,000000000000003,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07120          ,00000008.3,0000000000,0000000000008.3,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07129          ,00000001.5,0000000000,0000000000001.5,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07182          ,0000011.87,0000000000,000000000011.87,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07192          ,0000026.97,0000000000,000000000026.97,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07197          ,0000009.77,0000000000,000000000009.77,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07209          ,0000004.15,0000000000,000000000004.15,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07235          ,0000009.95,0000000000,000000000009.95,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07257          ,0000018.89,0000000000,000000000018.89,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07602          ,0000075.52,0000000000,000000000075.52,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07673          ,0000060.53,0000000000,000000000060.53,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,07713          ,0000063.19,0000000000,000000000063.19,                         ,                         ,,20100712                      ,0000000000,'043                
20100712                      ,'                             ,'0020100713         ,                    ,                         ,09125          ,0000016.65,0000000000,000000000016.65,                         ,                         ,,20100712                      ,0000000000,'043                
